x,y,token,model
4.1936917,-0.7781146,paper,BERT
2.1635237,-1.5356001,authors,BERT
6.557766,-0.12931313,data,BERT
-0.7448551,1.1256992,would,BERT
2.6227887,-0.9679387,model,BERT
0.47151184,-2.591438,method,BERT
-0.9696378,-2.9152436,learning,BERT
1.7459859,-1.4704617,proposed,BERT
11.047587,4.2274723,results,BERT
1.329627,-0.79934466,also,BERT
0.21236503,2.593146,work,BERT
-0.9742734,-2.5498538,training,BERT
1.237857,-3.6396155,experiments,BERT
-1.5605845,1.1777546,well,BERT
-2.005586,1.1008364,one,BERT
0.3999,-0.99778163,different,BERT
-1.3496573,-2.056101,using,BERT
1.4175892,-2.0316277,section,BERT
-0.92289555,-0.06616697,used,BERT
1.0679123,-4.0523868,methods,BERT
-1.654186,-0.67267704,based,BERT
2.8138268,-1.349726,performance,BERT
-1.4828157,-3.3903208,approach,BERT
-0.7201637,-0.36592293,seems,BERT
-1.3689148,1.5251198,could,BERT
0.44151476,-1.5407428,problem,BERT
0.4128112,-1.475037,models,BERT
-2.3516295,-0.12611188,use,BERT
0.29175064,0.44104278,better,BERT
0.23253933,-0.9900417,interesting,BERT
0.36093026,-2.8843298,algorithm,BERT
0.76989216,-1.706045,network,BERT
2.237785,-0.10965933,however,BERT
3.132867,1.1728685,general,BERT
-2.9250944,-0.09295826,clear,BERT
-2.486787,0.1584923,like,BERT
-1.7665772,1.6373612,two,BERT
-3.1467526,-2.1476958,neural,BERT
-2.3175266,1.115085,think,BERT
-2.1499786,0.26932812,see,BERT
-4.3102536,1.4792217,con,BERT
-1.1500902,5.938177,r,BERT
-1.4408654,7.538463,x,BERT
2.5585155,-3.218233,networks,BERT
-2.0748236,-0.9147811,task,BERT
-0.059591033,-1.0981214,baseline,BERT
-0.09656487,3.3929083,show,BERT
2.3708625,-1.6222917,tasks,BERT
1.1624967,1.7668066,new,BERT
1.3858685,1.5901902,good,BERT
1.3373568,2.1988544,loss,BERT
-2.5856721,2.878136,main,BERT
-2.2050679,0.1522305,figure,BERT
-1.3917716,0.41418174,function,BERT
-1.6355106,1.1682326,example,BERT
-1.6030253,-0.014584614,time,BERT
-2.7198331,-0.65378165,idea,BERT
-0.20631379,-0.48364404,image,BERT
5.204677,-1.5672581,gradient,BERT
-4.0693746,2.656076,l,BERT
